District,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Percentage of Population with Comorbidities Risk in the Household,Average Total Risk Score
Adilabad,3.0669947,3.527645952,0.24894747,3.9873834,0.410971353,10.09408021
Agra,3.984097284,2.064007109,0.172797739,2.841689216,0.37003334,9.457579574
Ahmadnagar,3.133749971,2.046398491,0.094525003,2.406744852,0.510999738,9.504106987
Akola,3.171874589,2.168919904,0.104372255,3.026204641,0.484644104,9.952981845
Aligarh,4.205971843,2.402796014,0.248908795,2.513642158,0.397244469,9.65189855
Alirajpur,4.073053291,4.483995009,0.383105551,2.947285255,0.392221255,10.02033855
Allahabad,4.368930298,2.940327406,0.298279981,3.170688971,0.418492284,10.60202199
Ambedkar Nagar,4.791686072,3.248394506,0.375464571,2.068461857,0.495408792,10.74946228
Amravati,2.892561937,2.341004449,0.124360745,2.895583415,0.462923442,9.327762215
Anantapur,3.466171064,2.842245567,0.113057559,2.228186749,0.42031509,8.751994131
Araria,4.411204073,4.767295254,0.617602316,2.430714746,0.377784471,9.57829958
Ashoknagar,4.032683086,4.084699215,0.469392352,3.004914996,0.360813222,9.503378378
Auraiya,3.908404492,3.008083126,0.373540305,3.385308623,0.365495569,9.845518163
Aurangabad,4.012447083,3.735876996,0.49655243,3.958102134,0.417648232,11.01924126
Aurangabad,3.322493229,2.002361176,0.084284129,2.408791434,0.470031413,9.318549984
Azamgarh,4.555690115,3.26592093,0.345975049,2.92464606,0.514624653,11.47904978
Bagalkot,3.375406555,2.599138475,0.065765217,2.101626337,0.417202879,8.512467499
Baghpat,3.809700182,1.896665348,0.181531748,1.862872311,0.512445466,9.604757064
Bahraich,4.541203768,4.511756692,0.527127113,3.135819942,0.34813682,10.06206359
Balaghat,3.470103278,3.083971183,0.211196786,4.30505874,0.448466185,11.15364825
Ballia,4.487420847,3.123098937,0.371060447,3.855968793,0.48426274,12.10256502
Balrampur,4.457683506,4.412748597,0.491409856,3.61973272,0.453472265,11.4927653
Banda,3.703660154,4.151665191,0.462415479,3.927520372,0.310755744,9.640547445
Bangalore Rural,3.064990453,1.80607854,0.032355005,1.207966546,0.429661519,7.481553914
Bangalore,3.005747255,1.659308602,0.020639332,2.248499271,0.384694896,8.043384486
Banka,4.642369263,4.66132725,0.561348281,3.727607937,0.392801396,11.26131144
Bara Banki,4.193497498,3.725985258,0.459998247,3.323214777,0.379028993,10.21498531
Bareilly,3.744265421,2.749198917,0.339794771,2.108110041,0.346673205,8.181795249
Barwani,3.861089733,3.392908605,0.185793112,3.898798105,0.453087134,11.2613307
Basti,4.458457775,3.683976325,0.409958815,3.771309555,0.480734084,12.0472667
Begusarai,4.369245753,3.662798666,0.492120673,2.768069131,0.399862189,10.06901296
Belgaum,2.995237157,2.238694658,0.068599035,2.031886006,0.477327928,8.651931161
Bellary,3.504280539,2.455854122,0.076027922,1.835464473,0.41194076,8.328007977
Betul,3.236523071,3.61254302,0.269218296,3.501064044,0.412713185,9.754198773
Bhagalpur,4.634030008,4.17639358,0.506589356,3.123709397,0.385051974,10.60776381
Bhandara,2.597179551,2.576286939,0.104255909,3.843542501,0.429645288,9.592276084
