Sub-county,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Percentage of the Population with Limited Communications Access,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Igambang'Ombe,1.106764496,3.708645268,0.19708736,1.426304194,3.846071471,6.379140161
Ndhiwa,1.963517056,3.771623904,0.119854841,2.161438571,3.859966163,7.98492179
Igembe North,2.568574292,3.511156976,0.221900372,3.152680766,4.384275622,10.10553068
Kipipiri,1.35757218,2.711488187,0.04329942,2.543447012,4.663200419,8.564219611
Kigumo,1.327991042,2.464065128,0.071475947,2.104280996,4.998952995,8.431225034
Kaiti,1.605334255,2.59681455,0.067418622,1.740256085,4.71443058,8.060020919
Aldai,2.229383718,3.248690801,0.120648933,2.190897333,4.816030788,9.23631184
Tarbaj,4.632626025,5,0.718563803,4.153677018,1.173656575,9.959959619
Rarieda,2.262248447,3.672823542,0.094828969,1.978791516,4.723382835,8.964422798
Marigat,2.019513744,4.093744212,0.225733914,2.760557797,2.76103825,7.541109792
Bura,3.828866638,4.419025583,0.45603167,3.768055181,2.538042356,10.13496417
Tharaka North,1.953557046,4.304596957,0.266098639,4.161642647,2.723319529,8.838519222
Westlands,2.90364249,1.011217895,0.023152326,1.524664186,5,9.428306676
Mosop,1.911973695,3.607144461,0.123949557,2.659399712,4.242078863,8.81345227
Kilifi South,2.50777186,2.747206369,0.231775521,1.964397144,4.585130896,9.0572999
Imenti North,2.209527032,1.798484921,0.058166124,1.949275625,4.891866002,9.05066866
Samburu Central,2.357641877,4.183258532,0.31618509,3.185314858,2.777172249,8.320128984
Lagdera,4.576049846,5,0.669664892,4.980860424,1.589282316,11.14619259
Kibra,2.998410569,2.067611951,0.014451124,4.059413405,5,12.05782397
West Pokot,2.1550648,3.843677066,0.196435165,3.585147327,3.430652212,9.170864339
Msambweni,1.793523094,3.701918561,0.252094647,1.491861631,4.45587561,7.741260334
Athi River,2.378959345,1.761393178,0.116755305,1.706073824,4.721239169,8.806272339
Endebess,1.926200234,3.811249847,0.125779767,2.644375606,4.150404718,8.720980558
Kimilili,2.968426112,3.303723534,0.135328583,1.465299907,4.977538038,9.411264057
Masaba North,2.298462529,2.640940109,0.117135603,1.981140765,4.978002675,9.257605968
Kikuyu,2.446879225,1.300569604,0.027403607,1.507371837,4.949441424,8.903692486
Marakwet West,1.375276836,3.762351454,0.120366969,4.132766,3.967460037,9.475502873
Ndaragwa,1.250484617,2.74793409,0.037934149,2.233262318,4.605074159,8.088821094
Awendo,2.361082012,3.235660349,0.097054881,1.815831345,4.279861449,8.456774806
Bonchari,2.812135683,2.984334593,0.136475753,2.051264666,4.981159125,9.844559474
Nakuru North,2.252233683,2.112092875,0.050876842,1.607028962,4.943822169,8.803084815
Sabatia,3,3.468803831,0.054812412,1.302510668,5,9.302510668
Kuria West,2.452029389,3.313910256,0.102991674,1.625992734,4.159812347,8.237834471
Moyale,3.04102353,4.16357498,0.349551665,3.387832856,2.909092396,9.337948782
Kinango,2.387930992,4.403544272,0.384972142,3.580669548,3.201897568,9.170498108
Likuyani,2.453510707,2.440374021,0.060817114,1.251227398,4.6319761,8.336714205
Gem,2.331465345,3.837779723,0.090926501,1.969217235,4.880855133,9.181537713
Kirinyaga West,1.284790798,2.255879947,0.057475071,1.360451413,4.99408402,7.639326231
Kajiado West,2.330824189,3.82749441,0.335333644,2.863691071,2.679599275,7.874114536
Nyamira North,2.604595026,2.951046484,0.142245173,1.679156428,4.97243143,9.256182883
Mbeere South,1.518084046,3.325500946,0.119625247,1.997852045,3.849261844,7.365197935
Mwingi Central Sub- County,2.061919202,3.790196633,0.201294036,1.889842162,3.217855064,7.169616428
Githunguri,2.181808514,1.872381289,0.029808882,1.32273303,5,8.504541544
Mwimbi,1.2929571,2.303736255,0.080832638,2.754240408,4.827365554,8.874563062
Mwingi North,1.893712426,4.120267227,0.233677827,2.075023657,2.520368207,6.48910429
Butere,2.735500304,3.880527305,0.112078915,1.56396722,4.994840202,9.294307726
Kipkelion East,1.487595052,2.820050936,0.074614263,1.324326355,4.418002302,7.229923709
Kitui South,1.982126612,3.978762535,0.200029296,2.317431168,3.119028296,7.418586076
Kitutu Chache North,2.680670085,3.432724559,0.188813105,3.392688207,4.992672524,11.06603082
North Horr,2.980785527,5,0.746127257,4.840302637,1.303893018,9.124981182
Nakuru West,2.889668334,1.046884086,0.033543689,1.546185203,4.989772902,9.425626439
Webuye West,2.71895757,3.512871292,0.10284646,1.530690553,4.70989077,8.959538893
Kisumu Central,2.989097395,1.215446357,0.072134349,2.105289472,5,10.09438687
Galole,3.039700237,4.283518463,0.343005421,4.592232064,2.645544861,10.27747716
Kieni West,1.057674608,2.973521234,0.052647176,2.772693662,4.617892711,8.448260981
Alego Usonga,2.306409354,3.421417428,0.097663343,1.65701242,4.668791569,8.632213342
Kajiado North,2.843643062,1.022100201,0.032607799,1.195067096,4.995563447,9.034273604
Isiolo,3.004307954,3.176785953,0.278414377,1.872035446,3.577860458,8.454203858
Hulugho,4.064129098,5,0.520199502,5,2.585885921,11.65001502
Bomachoge Borabu,2.680485992,3.119871424,0.192733211,2.834839059,4.962408452,10.4777335
Laikipia West,1.812231375,2.967508688,0.080064794,1.762491649,4.126388873,7.701111897
Tiaty,2.843357269,4.974527346,0.642548422,3.850851131,1.368963162,8.063171562
Turkana North,2.624252875,5,0.81405868,4.981927725,1.114721794,8.720902394
Makueni,1.267337582,2.889813714,0.115758743,2.486372763,4.046273215,7.79998356
Nyali,3,1.020140948,0.059504849,3.046624986,5,11.04662499
Kitui East,2.087016708,3.919357608,0.214935027,2.236129771,3.159511976,7.482658455
Molo,2.091408597,2.569527292,0.076480128,1.163354542,4.707608679,7.962371818
Transmara East,1.93928783,3.992818586,0.117882133,2.05030168,3.886342601,7.875932111
Turkana East,2.919205588,5,0.807342889,4.798632488,1.17258413,8.890422205
Chesumei,1.774970051,2.86916711,0.107179661,1.943275559,4.390376357,8.108621967
Suna East,2.367197441,3.384242711,0.10959481,1.191856701,4.313130905,7.872185046
Wajir East,3.421011446,3.711281079,0.280102503,3.606037438,3.877922409,10.90497129
Eldas,4.506736116,5,0.725381252,4.144052833,1.507151769,10.15794072
Lunga Lunga,1.874232811,4.224383638,0.331129135,2.525254306,3.658997047,8.058484164
Mvita,3,1,0.046497129,3.628496897,5,11.6284969
Banissa,4.00238555,4.996718442,0.620366024,5,1.83883124,10.84121679
Samburu North,2.871393569,4.619208501,0.599881248,4.053244972,1.885008591,8.809647132
Chepalungu,2.047518675,3.696073835,0.081017808,2.023668138,4.324060405,8.395247218
Pokot North,2.822808143,4.880089046,0.430679988,4.299264808,2.240782344,9.362855295
Changamwe,3.502922605,1.133733902,0.071755992,1.542483351,5,10.04540596
Mathare,3,1.000051386,0.009607268,1.450797466,5,9.450797466
Butula,2.327333994,3.894994507,0.141649065,1.492052844,4.915970881,8.735357718
Bumula,2.969650144,3.960263756,0.129117028,1.682495311,4.672426257,9.324571712
Kipkelion West,1.425999252,3.565188668,0.100523477,1.81050376,4.431138705,7.667641717
Mathira East,1.554882372,1.812264008,0.024202446,1.036383403,5,7.591265775
Kasarani,2.829218593,1.177853863,0.031298392,1.590663635,4.962432413,9.382314641
