LGA,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Abi,4.064853877,3.332149323,1.136633759,1.047531796,4.910363186,10.02274886
Akamkpa,2.820758505,3.732195173,1.269955652,3.422142679,3.723990486,9.96689167
Akbabuyo,3.765778045,3.525237112,1.69139376,2.418042291,4.877714918,11.06153525
Bakassi,3.647892193,3.668952481,1.894765897,4.145360228,4.962690006,12.75594243
Bekwarra,4.167303762,3.308498714,1.664633274,1.090204227,4.772645716,10.0301537
Biase,3.122282613,3.508892858,1.49485339,2.239944357,4.267138138,9.629365108
Boki,3.205092557,3.652872242,1.595300749,2.53237899,4.211191687,9.948663235
Calabar Municipal,3.994276437,1.339193226,1.010934008,1.12891339,4.99519153,10.11838136
Calabar South,3.835549037,2.436247465,1.406470238,2.770651956,4.978451807,11.5846528
Etung,3.047813328,3.320990711,1.389324187,2.377971656,4.239507239,9.665292223
Ikom,3.210953798,3.171279446,1.579237362,1.547270324,3.976020639,8.734244761
Obanliku,3.658852818,3.510338554,2.275370633,2.301733527,4.586689559,10.5472759
Obubra,3.472420111,3.508906526,1.77773363,1.282055825,4.311630854,9.06610679
Obudu,3.891813563,3.183443735,1.457788363,1.652698226,4.903371664,10.44788345
Odukpani,3.710437485,3.404692931,1.578895936,2.930913438,4.742498953,11.38384988
Ogoja,3.77410575,3.324066553,1.515505418,1.092489139,4.370641714,9.237236603
Yakurr,3.845163335,2.917036938,1.238714298,1.387574493,4.79149758,10.02423541
Yala,3.965306336,3.883432015,1.850850403,1.37142028,3.967520656,9.304247272
Abeokuta North,3.841857916,2.514227271,1.147801342,3.208574078,4.799512569,11.84994456
Abeokuta South,3.990243711,1.007867388,1,2.995488347,5,11.98573206
Ado Odo/Ota,3.968188568,1.424671787,1.005618675,2.257586113,4.98055651,11.20633119
Egbado North,3.557372951,3.736403562,1.707996998,3.250618198,4.45924945,11.2672406
Egbado South,3.827516008,2.430347251,1.152817559,2.253837452,4.816130485,10.89748394
Ewekoro,3.761623543,2.398631586,1.164897383,2.535818189,4.69621895,10.99366068
Ifo,3.978759512,1.25205042,1.010602747,1.903359749,4.991305963,10.87342522
Ijebu East,3.597249329,3.387997508,1.090063373,2.772666186,4.247320955,10.61723647
Ijebu North,3.790404605,2.639995528,1.025868099,2.121799714,4.840602842,10.75280716
Ijebu North East,3.97489038,2.86783061,1.019595188,1.074330292,4.985106769,10.03432744
Ijebu Ode,3.924420759,1.494274773,1.008159657,1.892135573,4.976256416,10.79281275
Ikenne,3.983810116,1.540210572,1,2.021905538,4.988933003,10.99464866
Imeko Afon,3.557330669,3.85951308,1.416898191,2.861406568,4.288249997,10.70698723
Ipokia,3.881894126,3.089189442,1.224555002,2.744124372,4.925083771,11.55110227
Obafemi Owode,3.643511479,2.323755972,1.048767049,2.242025412,4.728396933,10.61393382
Odeda,3.385805179,3.029283279,1.459538845,3.111621863,4.418840933,10.91626797
Odogbolu,3.613605689,2.260532544,1.018321631,2.025351411,4.810996234,10.44995333
Ogun Waterside,3.497585204,3.84996084,1.667248671,3.496947379,4.36316509,11.35769767
Remo North,3.773886562,2.679894635,1,1.93877622,4.855554756,10.56821754
Shagamu,3.880434717,1.639026737,1.007619676,2.011892866,4.928843427,10.82117101
Aguata,3.998412476,2.00206892,1,1.041620051,5,10.04003253
Anambra East,3.847613291,2.716755304,1.128421474,1.654226215,4.904652981,10.40649249
Anambra West,3.133709026,3.532830629,2.295802968,2.929683841,4.753632882,10.81702575
Anaocha,4,1.987408542,1,1.483228174,5,10.48322817
Awka North,3.734037881,2.881523939,1.097985399,1.982075905,4.716199019,10.43231281
Awka South,3.989356956,1.44611687,1,2.035140168,4.999009251,11.02350638
Ayamelum,3.390980642,3.761391924,1.884661998,2.714296303,4.73249182,10.83776877
Dunukofia,3.987542321,2.047190341,1.030137679,1.681159312,4.983991318,10.65269295
Ekwusigo,4,1.918856113,1.000078215,1.02856043,5,10.02856043
Idemili North,4,1.5195421,1,1.233864534,5,10.23386453
Idemili South,4,1.679608866,1.001819453,1.065579122,5,10.06557912
Ihiala,4,1.964921233,1.008992382,1.005385981,5,10.00538598
Njikoka,4,1.640126793,1,1.798599921,5,10.79859992
Nnewi North,4,1.331813045,1,1,5,10
Nnewi South,4,1.935279718,1,1.002332919,5,10.00233292
Ogbaru,3.938000832,2.067894639,1.002631354,1.770016785,4.970381748,10.67839936
Onitsha North,4,1.051303164,1,1.581048458,5,10.58104846
Onitsha South,4,1,1,2.004928378,5,11.00492838
Orumba North,3.721592669,2.494403436,1.005023658,1.725424412,4.968606975,10.41562406
Orumba South,3.921415278,2.30492566,1.001978504,1.027161692,4.997989613,9.946566584
Oyi,3.993800196,1.927766965,1,1.821071407,4.994382075,10.80925368
Brass,2.97131326,3.014369377,1.386599415,4.429674573,4.5572865,11.95827433
Ekeremor,2.932279561,2.839605231,1.028168767,4.677371502,4.707652282,12.31730334
