State,Average Exposure Risk Score,Average Socio-economic Vulnerability Score,Average Communications Access Risk Score,Average Health Facilities Access Risk Score,Average Comorbidities Risk Score,Average Total Risk Score
Ogun,3.83321181,2.088972084,1.107868531,2.365982035,4.835578116,11.03477196
Anambra,3.910892501,2.026106135,1.101243054,1.465806913,4.966435431,10.34313484
Bayelsa,3.308252615,2.397714649,1.057103758,3.876541254,4.720826187,11.90562006
Delta,3.653950694,2.101299885,1.108629408,1.956658408,4.855535862,10.46614496
Edo,3.846894161,2.556511897,1.312258869,1.461121403,4.71258558,10.02060114
Imo,3.969391402,2.019726286,1.012689234,1.043122036,4.975723633,9.988237071
Ondo,4.262364031,2.932830851,1.095917387,2.192985207,4.768795158,11.2241444
Rivers,3.877429529,1.891480832,1.079287816,1.908876766,4.937632098,10.72393839
Kwara,3.981547314,3.077020275,2.113531635,1.446949021,4.028617374,9.457113709
Lagos,3.976388009,1.131957752,1.013041682,1.63054923,4.994864931,10.60180217
Oyo,3.647061573,2.488361634,1.193342291,2.216373034,4.650397177,10.51383178
Kaduna,3.669564105,3.301795339,2.148214059,2.474579922,4.162808558,10.30695258
Kogi,3.55693654,3.207283319,1.684994983,1.325263987,4.25437129,9.136571817
Niger,3.528639157,3.848843261,2.965062922,1.949668149,3.522531535,9.000838841
Osun,3.786735627,2.493864819,1.022531136,2.478341382,4.880547676,11.14562469
Ekiti,4.426916767,2.601850751,1.069906067,1.184399472,4.921695418,10.53301166
Akwa Ibom,4.100052862,2.637018088,1.219097822,2.119516059,4.983798112,11.20336703
Cross River,3.643360731,3.238230363,1.525070038,1.926471028,4.518573994,10.08840575
Ebonyi,4.434840888,3.37297932,1.299190084,1.084310581,4.663475585,10.18262705
Enugu,4.001584268,2.636239127,1.094104068,2.092215817,4.931806489,11.02560657
Abia,3.918500145,2.044220798,1.058715516,1.537410835,4.971393711,10.42730469
Benue,3.94152158,3.537667026,1.966192153,1.356111088,4.002044455,9.299677124
Federal Capital Territory,3.611996907,2.128186806,1.469382686,1.165064718,4.65353305,9.430594675
Nasarawa,3.388362055,3.448028138,2.435699951,1.603061188,3.486436213,8.477859456
Plateau,3.368207524,3.574051242,2.766195064,1.546291568,4.101796393,9.016295485
Taraba,3.473937605,4.071283049,3.478529538,2.292967949,3.422588986,9.18949454
Bauchi,3.630187843,4.598711424,3.420339638,1.744400833,3.217426038,8.592014714
Adamawa,3.407782538,4.139261361,3.029165215,2.043352701,3.99663234,9.44776758
Gombe,3.448055384,4.46530691,2.813601286,1.506342303,3.627698636,8.582096324
Zamfara,3.799871267,4.762742933,3.764038567,3.054243441,3.130998326,9.985113035
Sokoto,4.16925519,4.603341575,3.511501327,2.414971308,3.571524035,10.15575053
Kebbi,3.901026851,4.690483996,3.848519125,2.370842961,3.217490541,9.489360352
Yobe,3.71119142,4.779389881,4.328656078,2.666193747,2.561209119,8.938594286
Jigawa,3.883723521,4.729811083,3.548921506,1.239098133,3.640904751,8.763726406
Kano,3.985060173,3.794030564,2.289156471,1.071255559,4.563553765,9.619869496
Katsina,3.933923489,4.442006708,2.917934677,1.491447337,3.922498867,9.347869692
Borno,3.763918696,4.504876503,3.986356813,2.641745268,3.407127736,9.8127917
